y,x,x2
13.92,0,0
0.33095,0.1,0.01
-1.4562,0.2,0.04
18.23855,0.3,0.09
-12.3848,0.4,0.16
-12.12625,0.5,0.25
10.1942,0.6,0.36
5.19655,0.7,0.49
-11.7392,0.8,0.64
-1.83305,0.9,0.81
8.615,1,1
7.76495,1.1,1.21
12.9568,1.2,1.44
-14.78945,1.3,1.69
-18.9538,1.4,1.96
-25.87625,1.5,2.25
4.5232,1.6,2.56
-22.83545,1.7,2.89
-0.0922,1.8,3.24
-30.58705,1.9,3.61
2.6,2,4
-15.37105,2.1,4.41
-12.6402,2.2,4.84
-19.38745,2.3,5.29
-13.1528,2.4,5.76
-3.91625,2.5,6.25
-9.8178,2.6,6.76
-22.81745,2.7,7.29
-23.1752,2.8,7.84
-38.35105,2.9,8.41
-38.205,3,9
-34.77705,3.1,9.61
-40.3072,3.2,10.24
-25.53545,3.3,10.89
-30.2418,3.4,11.56
-33.98625,3.5,12.25
-62.0888,3.6,12.96
-52.72945,3.7,13.69
-42.1082,3.8,14.44
-48.20505,3.9,15.21
-84.1,4,16
-70.09305,4.1,16.81
-77.0842,4.2,17.64
-78.19345,4.3,18.49
-88.0408,4.4,19.36
-102.02625,4.5,20.25
-98.8698,4.6,21.16
-111.19145,4.7,22.09
-87.3112,4.8,23.04
-113.26905,4.9,24.01
-97.465,5,25
-122.83905,5.1,26.01
-118.1912,5.2,27.04
-134.18145,5.3,28.09
-132.0898,5.4,29.16
-128.29625,5.5,30.25
-142.4208,5.6,31.36
-150.48345,5.7,32.49
-145.8642,5.8,33.64
-140.44305,5.9,34.81
-173.62,6,36
-183.75505,6.1,37.21
-153.1482,6.2,38.44
-172.25945,6.3,39.69
-198.6088,6.4,40.96
-177.79625,6.5,42.25
-203.8618,6.6,43.56
-215.78545,6.7,44.89
-203.9672,6.8,46.24
-215.92705,6.9,47.61
-209.065,7,49
-216.32105,7.1,50.41
-250.6352,7.2,51.84
-258.16745,7.3,53.29
-265.4978,7.4,54.76
-247.56625,7.5,56.25
-242.1328,7.6,57.76
-275.43745,7.7,59.29
-276.0202,7.8,60.84
-280.22105,7.9,62.41
-289.62,8,64
-314.45705,8.1,65.61
-297.4522,8.2,67.24
-319.24545,8.3,68.89
-338.8568,8.4,70.56
-329.50625,8.5,72.25
-333.9938,8.6,73.96
-346.33945,8.7,75.69
-366.1432,8.8,77.44
-380.02505,8.9,79.21
-360.445,9,81
-395.02305,9.1,82.81
-368.3592,9.2,84.64
-386.13345,9.3,86.49
-399.2858,9.4,88.36
-410.33625,9.5,90.25
-438.2848,9.6,92.16
-438.25145,9.7,94.09
-442.7962,9.8,96.04
-451.11905,9.9,98.01
-469.14,10,100
