x,y
0,13.92
0.1,0.33095
0.2,-1.4562
0.3,18.23855
0.4,-12.3848
0.5,-12.12625
0.6,10.1942
0.7,5.19655
0.8,-11.7392
0.9,-1.83305
1,8.615
1.1,7.76495
1.2,12.9568
1.3,-14.78945
1.4,-18.9538
1.5,-25.87625
1.6,4.5232
1.7,-22.83545
1.8,-0.0922
1.9,-30.58705
2,2.6
2.1,-15.37105
2.2,-12.6402
2.3,-19.38745
2.4,-13.1528
2.5,-3.91625
2.6,-9.8178
2.7,-22.81745
2.8,-23.1752
2.9,-38.35105
3,-38.205
3.1,-34.77705
3.2,-40.3072
3.3,-25.53545
3.4,-30.2418
3.5,-33.98625
3.6,-62.0888
3.7,-52.72945
3.8,-42.1082
3.9,-48.20505
4,-84.1
4.1,-70.09305
4.2,-77.0842
4.3,-78.19345
4.4,-88.0408
4.5,-102.02625
4.6,-98.8698
4.7,-111.19145
4.8,-87.3112
4.9,-113.26905
5,-97.465
5.1,-122.83905
5.2,-118.1912
5.3,-134.18145
5.4,-132.0898
5.5,-128.29625
5.6,-142.4208
5.7,-150.48345
5.8,-145.8642
5.9,-140.44305
6,-173.62
6.1,-183.75505
6.2,-153.1482
6.3,-172.25945
6.4,-198.6088
6.5,-177.79625
6.6,-203.8618
6.7,-215.78545
6.8,-203.9672
6.9,-215.92705
7,-209.065
7.1,-216.32105
7.2,-250.6352
7.3,-258.16745
7.4,-265.4978
7.5,-247.56625
7.6,-242.1328
7.7,-275.43745
7.8,-276.0202
7.9,-280.22105
8,-289.62
8.1,-314.45705
8.2,-297.4522
8.3,-319.24545
8.4,-338.8568
8.5,-329.50625
8.6,-333.9938
8.7,-346.33945
8.8,-366.1432
8.9,-380.02505
9,-360.445
9.1,-395.02305
9.2,-368.3592
9.3,-386.13345
9.4,-399.2858
9.5,-410.33625
9.6,-438.2848
9.7,-438.25145
9.8,-442.7962
9.9,-451.11905
10,-469.14
