y,x2
13.92,0
0.33095,0.01
-1.4562,0.04
18.23855,0.09
-12.3848,0.16
-12.12625,0.25
10.1942,0.36
5.19655,0.49
-11.7392,0.64
-1.83305,0.81
8.615,1
7.76495,1.21
12.9568,1.44
-14.78945,1.69
-18.9538,1.96
-25.87625,2.25
4.5232,2.56
-22.83545,2.89
-0.0922,3.24
-30.58705,3.61
2.6,4
-15.37105,4.41
-12.6402,4.84
-19.38745,5.29
-13.1528,5.76
-3.91625,6.25
-9.8178,6.76
-22.81745,7.29
-23.1752,7.84
-38.35105,8.41
-38.205,9
-34.77705,9.61
-40.3072,10.24
-25.53545,10.89
-30.2418,11.56
-33.98625,12.25
-62.0888,12.96
-52.72945,13.69
-42.1082,14.44
-48.20505,15.21
-84.1,16
-70.09305,16.81
-77.0842,17.64
-78.19345,18.49
-88.0408,19.36
-102.02625,20.25
-98.8698,21.16
-111.19145,22.09
-87.3112,23.04
-113.26905,24.01
-97.465,25
-122.83905,26.01
-118.1912,27.04
-134.18145,28.09
-132.0898,29.16
-128.29625,30.25
-142.4208,31.36
-150.48345,32.49
-145.8642,33.64
-140.44305,34.81
-173.62,36
-183.75505,37.21
-153.1482,38.44
-172.25945,39.69
-198.6088,40.96
-177.79625,42.25
-203.8618,43.56
-215.78545,44.89
-203.9672,46.24
-215.92705,47.61
-209.065,49
-216.32105,50.41
-250.6352,51.84
-258.16745,53.29
-265.4978,54.76
-247.56625,56.25
-242.1328,57.76
-275.43745,59.29
-276.0202,60.84
-280.22105,62.41
-289.62,64
-314.45705,65.61
-297.4522,67.24
-319.24545,68.89
-338.8568,70.56
-329.50625,72.25
-333.9938,73.96
-346.33945,75.69
-366.1432,77.44
-380.02505,79.21
-360.445,81
-395.02305,82.81
-368.3592,84.64
-386.13345,86.49
-399.2858,88.36
-410.33625,90.25
-438.2848,92.16
-438.25145,94.09
-442.7962,96.04
-451.11905,98.01
-469.14,100
