Overs	Mdns	Runs	Wkts	Econ	Ave	SR		Opposition	Ground	Start DateAscending	
10.0	0	40	2	4	20	30		v Australia	Sydney	23 Jan 2016	ODI # 3727
9.5	2	28	4	2.84	7	14.7		v Zimbabwe	Harare	11 Jun 2016	ODI # 3742
6.0	0	27	1	4.5	27	36		v Zimbabwe	Harare	13 Jun 2016	ODI # 3744
10.0	1	22	4	2.2	5.5	15		v Zimbabwe	Harare	15 Jun 2016	ODI # 3746
8.0	1	29	0	3.62	-	-		v New Zealand	Dharamsala	16 Oct 2016	ODI # 3796
10.0	0	35	3	3.5	11.66	20		v New Zealand	Delhi	20 Oct 2016	ODI # 3797
9.4	0	52	2	5.37	26	29		v New Zealand	Mohali	23 Oct 2016	ODI # 3798
5.0	0	16	1	3.2	16	30		v New Zealand	Visakhapatnam	29 Oct 2016	ODI # 3800
10.0	0	79	2	7.9	39.5	30		v England	Pune	15 Jan 2017	ODI # 3819
9.0	0	81	2	9	40.5	27		v England	Cuttack	19 Jan 2017	ODI # 3821
10.0	1	68	1	6.8	68	60		v England	Eden Gardens	22 Jan 2017	ODI # 3824
5.0	0	23	0	4.6	-	-		v Pakistan	Birmingham	4 Jun 2017	ODI # 3878
10.0	0	52	0	5.2	-	-		v Sri Lanka	The Oval	8 Jun 2017	ODI # 3882
8.0	0	28	2	3.5	14	24		v South Africa	The Oval	11 Jun 2017	ODI # 3886
10.0	1	39	2	3.9	19.5	30		v Bangladesh	Birmingham	15 Jun 2017	ODI # 3891
9.0	0	68	0	7.55	-	-		v Pakistan	The Oval	18 Jun 2017	ODI # 3894
6.2	0	22	2	3.47	11	19		v Sri Lanka	Dambulla	20 Aug 2017	ODI # 3905
10.0	2	43	4	4.3	10.75	15		v Sri Lanka	Pallekele	24 Aug 2017	ODI # 3906
10.0	2	27	5	2.7	5.4	12		v Sri Lanka	Pallekele	27 Aug 2017	ODI # 3907
7.0	0	32	2	4.57	16	21		v Sri Lanka	Colombo (RPS)	31 Aug 2017	ODI # 3908
10.0	0	45	2	4.5	22.5	30		v Sri Lanka	Colombo (RPS)	3 Sep 2017	ODI # 3909
4.0	0	20	1	5	20	24		v Australia	Chennai	17 Sep 2017	ODI # 3910
7.0	1	39	0	5.57	-	-		v Australia	Eden Gardens	21 Sep 2017	ODI # 3912
10.0	0	52	2	5.2	26	30		v Australia	Indore	24 Sep 2017	ODI # 3914
10.0	2	51	2	5.1	25.5	30		v Australia	Nagpur	1 Oct 2017	ODI # 3919
9.0	0	56	1	6.22	56	54		v New Zealand	Wankhede	22 Oct 2017	ODI # 3928
10.0	2	38	2	3.8	19	30		v New Zealand	Pune	25 Oct 2017	ODI # 3931
10.0	0	47	3	4.7	15.66	20		v New Zealand	Kanpur	29 Oct 2017	ODI # 3932
7.0	1	32	1	4.57	32	42		v Sri Lanka	Dharamsala	10 Dec 2017	ODI # 3939
10.0	0	43	2	4.3	21.5	30		v Sri Lanka	Mohali	13 Dec 2017	ODI # 3941
8.0	1	39	1	4.87	39	48		v Sri Lanka	Visakhapatnam	17 Dec 2017	ODI # 3942
10.0	0	56	1	5.6	56	60		v South Africa	Durban	1 Feb 2018	ODI # 3969
5.0	1	12	1	2.4	12	30		v South Africa	Centurion	4 Feb 2018	ODI # 3970
7.0	0	32	2	4.57	16	21		v South Africa	Cape Town	7 Feb 2018	ODI # 3971
5.0	0	21	1	4.2	21	30		v South Africa	Johannesburg	10 Feb 2018	ODI # 3973
7.0	0	22	1	3.14	22	42		v South Africa	Gqeberha	13 Feb 2018	ODI # 3976
8.0	1	24	2	3	12	24		v South Africa	Centurion	16 Feb 2018	ODI # 3978
7.1	2	23	2	3.2	11.5	21.5		v Pakistan	Dubai (DICS)	19 Sep 2018	ODI # 4040
9.1	1	37	3	4.03	12.33	18.3		v Bangladesh	Dubai (DICS)	21 Sep 2018	ODI # 4042
10.0	1	29	2	2.9	14.5	30		v Pakistan	Dubai (DICS)	23 Sep 2018	ODI # 4044
8.3	0	39	1	4.58	39	51		v Bangladesh	Dubai (DICS)	28 Sep 2018	ODI # 4048
10.0	1	35	4	3.5	8.75	15		v West Indies	Pune	27 Oct 2018	ODI # 4062
8.0	1	25	0	3.12	-	-		v West Indies	Brabourne	29 Oct 2018	ODI # 4063
6.0	1	11	2	1.83	5.5	18		v West Indies	Thiruvananthapuram	1 Nov 2018	ODI # 4064
10.0	0	60	2	6	30	30		v Australia	Hyderabad	2 Mar 2019	ODI # 4102
10.0	0	29	2	2.9	14.5	30		v Australia	Nagpur	5 Mar 2019	ODI # 4106
10.0	0	53	0	5.3	-	-		v Australia	Ranchi	8 Mar 2019	ODI # 4109
8.5	0	63	3	7.13	21	17.6		v Australia	Mohali	10 Mar 2019	ODI # 4111
10.0	0	39	0	3.9	-	-		v Australia	Delhi	13 Mar 2019	ODI # 4113
10.0	1	35	2	3.5	17.5	30		v South Africa	Southampton	5 Jun 2019	ODI # 4150
10.0	1	61	3	6.1	20.33	20		v Australia	The Oval	9 Jun 2019	ODI # 4155
8.0	0	52	0	6.5	-	-		v Pakistan	Manchester	16 Jun 2019	ODI # 4161
10.0	1	39	2	3.9	19.5	30		v Afghanistan	Southampton	22 Jun 2019	ODI # 4169
6.0	1	9	2	1.5	4.5	18		v West Indies	Manchester	27 Jun 2019	ODI # 4175
10.0	1	44	1	4.4	44	60		v England	Birmingham	30 Jun 2019	ODI # 4179
10.0	1	55	4	5.5	13.75	15		v Bangladesh	Birmingham	2 Jul 2019	ODI # 4182
10.0	2	37	3	3.7	12.33	20		v Sri Lanka	Leeds	6 Jul 2019	ODI # 4187
10.0	1	39	1	3.9	39	60		v New Zealand	Manchester	9 Jul 2019	ODI # 4190
7.0	0	50	0	7.14	-	-		v Australia	Wankhede	14 Jan 2020	ODI # 4231
9.1	2	32	1	3.49	32	55		v Australia	Rajkot	17 Jan 2020	ODI # 4232
10.0	0	38	0	3.8	-	-		v Australia	Bengaluru	19 Jan 2020	ODI # 4233
10.0	1	53	0	5.3	-	-		v New Zealand	Hamilton	5 Feb 2020	ODI # 4235
10.0	0	64	0	6.4	-	-		v New Zealand	Auckland	8 Feb 2020	ODI # 4239
10.0	0	50	0	5	-	-		v New Zealand	Mount Maunganui	11 Feb 2020	ODI # 4243
10.0	0	73	1	7.3	73	60		v Australia	Sydney	27 Nov 2020	ODI # 4265
10.0	1	79	1	7.9	79	60		v Australia	Sydney	29 Nov 2020	ODI # 4266
9.3	0	43	2	4.52	21.5	28.5		v Australia	Canberra	2 Dec 2020	ODI # 4267
10.0	0	48	2	4.8	24	30		v South Africa	Paarl	19 Jan 2022	ODI # 4344
10.0	0	37	1	3.7	37	60		v South Africa	Paarl	21 Jan 2022	ODI # 4346
10.0	0	52	2	5.2	26	30		v South Africa	Cape Town	23 Jan 2022	ODI # 4349
7.2	3	19	6	2.59	3.16	7.3		v England	The Oval	12 Jul 2022	ODI # 4424
10.0	1	49	2	4.9	24.5	30		v England	Lord's	14 Jul 2022	ODI # 4428
-	-	-	-	-	-	-		v Pakistan	Pallekele	2 Sep 2023	ODI # 4630
5.0	1	18	1	3.6	18	30		v Pakistan	Colombo (RPS)	10 Sep 2023	ODI # 4639
7.0	1	30	2	4.28	15	21		v Sri Lanka	Colombo (RPS)	12 Sep 2023	ODI # 4641
5.0	1	23	1	4.6	23	30		v Sri Lanka	Colombo (RPS)	17 Sep 2023	ODI # 4649
10.0	2	43	1	4.3	43	60		v Australia	Mohali	22 Sep 2023	ODI # 4651
10.0	0	81	3	8.1	27	20		v Australia	Rajkot	27 Sep 2023	ODI # 4657
10.0	0	35	2	3.5	17.5	30		v Australia	Chennai	8 Oct 2023	ODI # 4662
10.0	0	39	4	3.9	9.75	15		v Afghanistan	Delhi	11 Oct 2023	ODI # 4666
7.0	1	19	2	2.71	9.5	21		v Pakistan	Ahmedabad	14 Oct 2023	ODI # 4669
10.0	1	41	2	4.1	20.5	30		v Bangladesh	Pune	19 Oct 2023	ODI # 4674
10.0	1	45	1	4.5	45	60		v New Zealand	Dharamsala	22 Oct 2023	ODI # 4678
6.5	1	32	3	4.68	10.66	13.6		v England	Lucknow	29 Oct 2023	ODI # 4686
5.0	1	8	1	1.6	8	30		v Sri Lanka	Wankhede	2 Nov 2023	ODI # 4690
5.0	0	14	0	2.8	-	-		v South Africa	Eden Gardens	5 Nov 2023	ODI # 4694
9.0	1	33	2	3.66	16.5	27		v Netherlands	Bengaluru	12 Nov 2023	ODI # 4702
10.0	1	64	1	6.4	64	60		v New Zealand	Wankhede	15 Nov 2023	ODI # 4703
9.0	2	43	2	4.77	21.5	27		v Australia	Ahmedabad	19 Nov 2023	ODI # 4705
