ms,es,gender
20,46,F
20,40,M
16,32,M
11,31,M
13,32,M
19,50,F
12,27,M
9,25,F
19,34,M
19,38,M
12,26,M
8,17,M
11,34,F
6,10,M
12,26,M
20,40,M
16,39,F
18,40,F
14,33,M
12,31,F
20,44,M
12,30,M
16,38,M
18,46,F
16,41,F
12,30,M
14,30,M
7,23,F
14,32,M
20,44,M
16,41,F
12,35,F
11,33,F
2,15,F
16,38,F
14,34,F
12,29,F
14,26,M
10,28,F
9,17,M
13,31,F
12,23,M
18,43,M
12,29,M
10,24,M
9,20,F
16,29,M
13,25,M
20,44,F
18,36,M
8,15,F
20,50,F
16,40,F
20,38,M
12,32,F
20,46,F
12,29,F
18,45,F
14,39,M
19,39,M
20,37,M
16,42,F
15,33,F
18,38,M
11,26,F
10,23,M
3,6,M
17,36,F
15,33,M
14,35,F
13,34,F
20,45,F
14,31,M
15,38,F
12,21,M
20,50,F
17,31,M
16,31,M
10,27,F
20,34,M
8,26,F
20,41,M
19,38,M
18,42,M
16,37,F
17,44,F
8,19,F
20,49,F
20,44,F
20,49,F
7,15,M
16,37,M
6,4,M
14,32,M
20,50,F
14,27,M
16,37,M
14,31,M
13,25,M
13,30,F
